LGA_NAME16	Year	NonSchoolQualification	persons
East Gippsland (S)	2006	Graduate Diploma and Graduate Certificate	423
East Gippsland (S)	2006	Postgraduate	263
East Gippsland (S)	2011		28556
East Gippsland (S)	2011	Certificate nfd	518
East Gippsland (S)	2011	Certificate I and II Level	442
East Gippsland (S)	2011	Certificate III and IV Level	6515
East Gippsland (S)	2011	Advanced Diploma and Diploma	2613
East Gippsland (S)	2011	Bachelor	2587
East Gippsland (S)	2011	Graduate Diploma and Graduate Certificate	576
East Gippsland (S)	2011	Postgraduate	386
East Gippsland (S)	2016		28781
East Gippsland (S)	2016	Certificate nfd	782
East Gippsland (S)	2016	Certificate I and II Level	514
East Gippsland (S)	2016	Certificate III and IV Level	7573
East Gippsland (S)	2016	Advanced Diploma and Diploma	3184
East Gippsland (S)	2016	Bachelor	3007
East Gippsland (S)	2016	Graduate Diploma and Graduate Certificate	675
East Gippsland (S)	2016	Postgraduate	524
Frankston (C)	2006		83993
Frankston (C)	2006	Certificate nfd	1504
Frankston (C)	2006	Certificate I and II Level	1067
Frankston (C)	2006	Certificate III and IV Level	15827
Frankston (C)	2006	Advanced Diploma and Diploma	6619
Frankston (C)	2006	Bachelor	6815
Frankston (C)	2006	Graduate Diploma and Graduate Certificate	1086
Frankston (C)	2006	Postgraduate	892
Frankston (C)	2011		83365
Frankston (C)	2011	Certificate nfd	1646
Frankston (C)	2011	Certificate I and II Level	1337
Frankston (C)	2011	Certificate III and IV Level	19237
Frankston (C)	2011	Advanced Diploma and Diploma	8684
Frankston (C)	2011	Bachelor	9178
Frankston (C)	2011	Graduate Diploma and Graduate Certificate	1503
Frankston (C)	2011	Postgraduate	1506
Frankston (C)	2016		81431
Frankston (C)	2016	Certificate nfd	2184
Frankston (C)	2016	Certificate I and II Level	1272
Frankston (C)	2016	Certificate III and IV Level	22255
Frankston (C)	2016	Advanced Diploma and Diploma	11147
Frankston (C)	2016	Bachelor	11407
Frankston (C)	2016	Graduate Diploma and Graduate Certificate	2028
Frankston (C)	2016	Postgraduate	2419
Gannawarra (S)	2006		8678
Gannawarra (S)	2006	Certificate nfd	96
Gannawarra (S)	2006	Certificate I and II Level	114
Gannawarra (S)	2006	Certificate III and IV Level	1447
Gannawarra (S)	2006	Advanced Diploma and Diploma	416
Gannawarra (S)	2006	Bachelor	435
Gannawarra (S)	2006	Graduate Diploma and Graduate Certificate	87
Gannawarra (S)	2006	Postgraduate	22
Gannawarra (S)	2011		7724
Gannawarra (S)	2011	Certificate nfd	85
Gannawarra (S)	2011	Certificate I and II Level	111
Gannawarra (S)	2011	Certificate III and IV Level	1415
Gannawarra (S)	2011	Advanced Diploma and Diploma	420
Gannawarra (S)	2011	Bachelor	469
Gannawarra (S)	2011	Graduate Diploma and Graduate Certificate	98
Gannawarra (S)	2011	Postgraduate	44
Gannawarra (S)	2016		7412
Gannawarra (S)	2016	Certificate nfd	132
Gannawarra (S)	2016	Certificate I and II Level	115
Gannawarra (S)	2016	Certificate III and IV Level	1642
Gannawarra (S)	2016	Advanced Diploma and Diploma	550
Gannawarra (S)	2016	Bachelor	550
Gannawarra (S)	2016	Graduate Diploma and Graduate Certificate	93
Gannawarra (S)	2016	Postgraduate	55
Glen Eira (C)	2006		73326
Glen Eira (C)	2006	Certificate nfd	1433
Glen Eira (C)	2006	Certificate I and II Level	601
Glen Eira (C)	2006	Certificate III and IV Level	8928
Glen Eira (C)	2006	Advanced Diploma and Diploma	9072
Glen Eira (C)	2006	Bachelor	21891
Glen Eira (C)	2006	Graduate Diploma and Graduate Certificate	3108
Glen Eira (C)	2006	Postgraduate	5724
Glen Eira (C)	2011		70680
Glen Eira (C)	2011	Certificate nfd	1381
Glen Eira (C)	2011	Certificate I and II Level	609
Glen Eira (C)	2011	Certificate III and IV Level	9375
Glen Eira (C)	2011	Advanced Diploma and Diploma	10621
Glen Eira (C)	2011	Bachelor	26238
Glen Eira (C)	2011	Graduate Diploma and Graduate Certificate	3765
Glen Eira (C)	2011	Postgraduate	8344
Glen Eira (C)	2016		70934
Glen Eira (C)	2016	Certificate nfd	1736
Glen Eira (C)	2016	Certificate I and II Level	572
Glen Eira (C)	2016	Certificate III and IV Level	9740
Glen Eira (C)	2016	Advanced Diploma and Diploma	11164
Glen Eira (C)	2016	Bachelor	31048
Glen Eira (C)	2016	Graduate Diploma and Graduate Certificate	4293
Glen Eira (C)	2016	Postgraduate	11388
Glenelg (S)	2006		14911
Glenelg (S)	2006	Certificate nfd	198
Glenelg (S)	2006	Certificate I and II Level	177
Glenelg (S)	2006	Certificate III and IV Level	2531
Glenelg (S)	2006	Advanced Diploma and Diploma	771
Glenelg (S)	2006	Bachelor	910
Glenelg (S)	2006	Graduate Diploma and Graduate Certificate	177
Glenelg (S)	2006	Postgraduate	85
Glenelg (S)	2011		13907
Glenelg (S)	2011	Certificate nfd	221
Glenelg (S)	2011	Certificate I and II Level	197
Glenelg (S)	2011	Certificate III and IV Level	3023
Glenelg (S)	2011	Advanced Diploma and Diploma	895
Glenelg (S)	2011	Bachelor	1027
Glenelg (S)	2011	Graduate Diploma and Graduate Certificate	184
Glenelg (S)	2011	Postgraduate	121
Glenelg (S)	2016		13093
Glenelg (S)	2016	Certificate nfd	290
Glenelg (S)	2016	Certificate I and II Level	247
Glenelg (S)	2016	Certificate III and IV Level	3282
Glenelg (S)	2016	Advanced Diploma and Diploma	1144
Glenelg (S)	2016	Bachelor	1101
Glenelg (S)	2016	Graduate Diploma and Graduate Certificate	240
Glenelg (S)	2016	Postgraduate	160
Golden Plains (S)	2006		11659
Golden Plains (S)	2006	Certificate nfd	195
Golden Plains (S)	2006	Certificate I and II Level	141
Golden Plains (S)	2006	Certificate III and IV Level	2342
Golden Plains (S)	2006	Advanced Diploma and Diploma	820
Golden Plains (S)	2006	Bachelor	933
Golden Plains (S)	2006	Graduate Diploma and Graduate Certificate	224
Golden Plains (S)	2006	Postgraduate	139
Golden Plains (S)	2011		12284
Golden Plains (S)	2011	Certificate nfd	216
Golden Plains (S)	2011	Certificate I and II Level	184
Golden Plains (S)	2011	Certificate III and IV Level	3132
Golden Plains (S)	2011	Advanced Diploma and Diploma	1171
Golden Plains (S)	2011	Bachelor	1286
Golden Plains (S)	2011	Graduate Diploma and Graduate Certificate	291
Golden Plains (S)	2011	Postgraduate	208
Golden Plains (S)	2016		13251
Golden Plains (S)	2016	Certificate nfd	330
Golden Plains (S)	2016	Certificate I and II Level	220
Golden Plains (S)	2016	Certificate III and IV Level	3912
Golden Plains (S)	2016	Advanced Diploma and Diploma	1582
Golden Plains (S)	2016	Bachelor	1663
Golden Plains (S)	2016	Graduate Diploma and Graduate Certificate	402
Golden Plains (S)	2016	Postgraduate	328
Greater Bendigo (C)	2006		65696
Greater Bendigo (C)	2006	Certificate nfd	1031
Greater Bendigo (C)	2006	Certificate I and II Level	1040
Greater Bendigo (C)	2006	Certificate III and IV Level	12044
Greater Bendigo (C)	2006	Advanced Diploma and Diploma	4535
Greater Bendigo (C)	2006	Bachelor	6499
Greater Bendigo (C)	2006	Graduate Diploma and Graduate Certificate	1418
Greater Bendigo (C)	2006	Postgraduate	991
Greater Bendigo (C)	2011		66435
Greater Bendigo (C)	2011	Certificate nfd	1107
Greater Bendigo (C)	2011	Certificate I and II Level	1139
Greater Bendigo (C)	2011	Certificate III and IV Level	14857
Greater Bendigo (C)	2011	Advanced Diploma and Diploma	5646
Greater Bendigo (C)	2011	Bachelor	8204
Greater Bendigo (C)	2011	Graduate Diploma and Graduate Certificate	1814
Greater Bendigo (C)	2011	Postgraduate	1415
Greater Bendigo (C)	2016		68546
Greater Bendigo (C)	2016	Certificate nfd	1603
Greater Bendigo (C)	2016	Certificate I and II Level	1152
Greater Bendigo (C)	2016	Certificate III and IV Level	17280
Greater Bendigo (C)	2016	Advanced Diploma and Diploma	7320
Greater Bendigo (C)	2016	Bachelor	10134
Greater Bendigo (C)	2016	Graduate Diploma and Graduate Certificate	2255
Greater Bendigo (C)	2016	Postgraduate	2187
Greater Dandenong (C)	2006		97407
Greater Dandenong (C)	2006	Certificate nfd	1211
Greater Dandenong (C)	2006	Certificate I and II Level	838
Greater Dandenong (C)	2006	Certificate III and IV Level	10618
Greater Dandenong (C)	2006	Advanced Diploma and Diploma	5945
Greater Dandenong (C)	2006	Bachelor	7623
Greater Dandenong (C)	2006	Graduate Diploma and Graduate Certificate	638
Greater Dandenong (C)	2006	Postgraduate	1238
Greater Dandenong (C)	2011		97537
Greater Dandenong (C)	2011	Certificate nfd	1323
Greater Dandenong (C)	2011	Certificate I and II Level	1046
Greater Dandenong (C)	2011	Certificate III and IV Level	12361
Greater Dandenong (C)	2011	Advanced Diploma and Diploma	8803
Greater Dandenong (C)	2011	Bachelor	10916
Greater Dandenong (C)	2011	Graduate Diploma and Graduate Certificate	891
Greater Dandenong (C)	2011	Postgraduate	2728
Greater Dandenong (C)	2016		103762
Greater Dandenong (C)	2016	Certificate nfd	1912
Greater Dandenong (C)	2016	Certificate I and II Level	1128
Greater Dandenong (C)	2016	Certificate III and IV Level	13919
Greater Dandenong (C)	2016	Advanced Diploma and Diploma	10744
Greater Dandenong (C)	2016	Bachelor	14782
Greater Dandenong (C)	2016	Graduate Diploma and Graduate Certificate	1302
Greater Dandenong (C)	2016	Postgraduate	4501
Greater Geelong (C)	2006		137276
Greater Geelong (C)	2006	Certificate nfd	2280
Greater Geelong (C)	2006	Certificate I and II Level	1811
Greater Geelong (C)	2006	Certificate III and IV Level	24912
Greater Geelong (C)	2006	Advanced Diploma and Diploma	11365
Greater Geelong (C)	2006	Bachelor	15146
Greater Geelong (C)	2006	Graduate Diploma and Graduate Certificate	2292
Greater Geelong (C)	2006	Postgraduate	2395
Greater Geelong (C)	2011		135505
Greater Geelong (C)	2011	Certificate nfd	2540
Greater Geelong (C)	2011	Certificate I and II Level	2003
Greater Geelong (C)	2011	Certificate III and IV Level	29823
Greater Geelong (C)	2011	Advanced Diploma and Diploma	14051
Greater Geelong (C)	2011	Bachelor	19833
Greater Geelong (C)	2011	Graduate Diploma and Graduate Certificate	3229
Greater Geelong (C)	2011	Postgraduate	3889
Greater Geelong (C)	2016		139357
Greater Geelong (C)	2016	Certificate nfd	3300
Greater Geelong (C)	2016	Certificate I and II Level	2019
Greater Geelong (C)	2016	Certificate III and IV Level	34746
Greater Geelong (C)	2016	Advanced Diploma and Diploma	18229
Greater Geelong (C)	2016	Bachelor	25165
Greater Geelong (C)	2016	Graduate Diploma and Graduate Certificate	4472
Greater Geelong (C)	2016	Postgraduate	6141
Greater Shepparton (C)	2006		43272
Greater Shepparton (C)	2006	Certificate nfd	540
Greater Shepparton (C)	2006	Certificate I and II Level	485
Greater Shepparton (C)	2006	Certificate III and IV Level	6337
Greater Shepparton (C)	2006	Advanced Diploma and Diploma	2348
Greater Shepparton (C)	2006	Bachelor	3085
Greater Shepparton (C)	2006	Graduate Diploma and Graduate Certificate	601
Greater Shepparton (C)	2006	Postgraduate	422
Greater Shepparton (C)	2011		43610
Greater Shepparton (C)	2011	Certificate nfd	559
Greater Shepparton (C)	2011	Certificate I and II Level	611
Greater Shepparton (C)	2011	Certificate III and IV Level	7685
Greater Shepparton (C)	2011	Advanced Diploma and Diploma	2982
Greater Shepparton (C)	2011	Bachelor	3728
Greater Shepparton (C)	2011	Graduate Diploma and Graduate Certificate	662
Greater Shepparton (C)	2011	Postgraduate	611
Greater Shepparton (C)	2016		43474
Greater Shepparton (C)	2016	Certificate nfd	792
Greater Shepparton (C)	2016	Certificate I and II Level	588
Greater Shepparton (C)	2016	Certificate III and IV Level	8790
Greater Shepparton (C)	2016	Advanced Diploma and Diploma	3955
Greater Shepparton (C)	2016	Bachelor	4348
Greater Shepparton (C)	2016	Graduate Diploma and Graduate Certificate	968
Greater Shepparton (C)	2016	Postgraduate	922
Hepburn (S)	2006		9479
Hepburn (S)	2006	Certificate nfd	132
Hepburn (S)	2006	Certificate I and II Level	102
Hepburn (S)	2006	Certificate III and IV Level	1675
Hepburn (S)	2006	Advanced Diploma and Diploma	823
Hepburn (S)	2006	Bachelor	1025
Hepburn (S)	2006	Graduate Diploma and Graduate Certificate	254
Hepburn (S)	2006	Postgraduate	242
Hepburn (S)	2011		9025
Hepburn (S)	2011	Certificate nfd	161
Hepburn (S)	2011	Certificate I and II Level	129
Hepburn (S)	2011	Certificate III and IV Level	1908
Hepburn (S)	2011	Advanced Diploma and Diploma	1038
Hepburn (S)	2011	Bachelor	1397
Hepburn (S)	2011	Graduate Diploma and Graduate Certificate	343
Hepburn (S)	2011	Postgraduate	367
Hepburn (S)	2016		8931
Hepburn (S)	2016	Certificate nfd	246
Hepburn (S)	2016	Certificate I and II Level	141
Hepburn (S)	2016	Certificate III and IV Level	2145
Hepburn (S)	2016	Advanced Diploma and Diploma	1315
Hepburn (S)	2016	Bachelor	1630
Hepburn (S)	2016	Graduate Diploma and Graduate Certificate	398
Hepburn (S)	2016	Postgraduate	524
Hindmarsh (S)	2006		4753
Hindmarsh (S)	2006	Certificate nfd	53
Hindmarsh (S)	2006	Certificate I and II Level	52
Hindmarsh (S)	2006	Certificate III and IV Level	629
Hindmarsh (S)	2006	Advanced Diploma and Diploma	213
Hindmarsh (S)	2006	Bachelor	277
Hindmarsh (S)	2006	Graduate Diploma and Graduate Certificate	49
Hindmarsh (S)	2006	Postgraduate	14
Hindmarsh (S)	2011		4387
Hindmarsh (S)	2011	Certificate nfd	55
Hindmarsh (S)	2011	Certificate I and II Level	66
Hindmarsh (S)	2011	Certificate III and IV Level	690
Hindmarsh (S)	2011	Advanced Diploma and Diploma	223
Hindmarsh (S)	2011	Bachelor	288
Hindmarsh (S)	2011	Graduate Diploma and Graduate Certificate	54
Hindmarsh (S)	2011	Postgraduate	34
Hindmarsh (S)	2016		3983
Hindmarsh (S)	2016	Certificate nfd	78
Hindmarsh (S)	2016	Certificate I and II Level	71
Hindmarsh (S)	2016	Certificate III and IV Level	817
Hindmarsh (S)	2016	Advanced Diploma and Diploma	329
Hindmarsh (S)	2016	Bachelor	333
Hindmarsh (S)	2016	Graduate Diploma and Graduate Certificate	60
Hindmarsh (S)	2016	Postgraduate	50
Hobsons Bay (C)	2006		56681
Hobsons Bay (C)	2006	Certificate nfd	831
Hobsons Bay (C)	2006	Certificate I and II Level	496
Hobsons Bay (C)	2006	Certificate III and IV Level	8511
Hobsons Bay (C)	2006	Advanced Diploma and Diploma	4337
Hobsons Bay (C)	2006	Bachelor	7684
Hobsons Bay (C)	2006	Graduate Diploma and Graduate Certificate	1214
Hobsons Bay (C)	2006	Postgraduate	1708
Hobsons Bay (C)	2011		53362
Hobsons Bay (C)	2011	Certificate nfd	851
Hobsons Bay (C)	2011	Certificate I and II Level	602
Hobsons Bay (C)	2011	Certificate III and IV Level	8990
Hobsons Bay (C)	2011	Advanced Diploma and Diploma	5576
Hobsons Bay (C)	2011	Bachelor	10055
Hobsons Bay (C)	2011	Graduate Diploma and Graduate Certificate	1582
Hobsons Bay (C)	2011	Postgraduate	2846
Hobsons Bay (C)	2016		51971
Hobsons Bay (C)	2016	Certificate nfd	1174
Hobsons Bay (C)	2016	Certificate I and II Level	528
Hobsons Bay (C)	2016	Certificate III and IV Level	9630
Hobsons Bay (C)	2016	Advanced Diploma and Diploma	6531
Hobsons Bay (C)	2016	Bachelor	12675
Hobsons Bay (C)	2016	Graduate Diploma and Graduate Certificate	2059
Hobsons Bay (C)	2016	Postgraduate	4210
Horsham (RC)	2006		13319
Horsham (RC)	2006	Certificate nfd	204
Horsham (RC)	2006	Certificate I and II Level	224
Horsham (RC)	2006	Certificate III and IV Level	2257
Horsham (RC)	2006	Advanced Diploma and Diploma	986
Horsham (RC)	2006	Bachelor	1124
Horsham (RC)	2006	Graduate Diploma and Graduate Certificate	215
Horsham (RC)	2006	Postgraduate	168
Horsham (RC)	2011		13170
Horsham (RC)	2011	Certificate nfd	203
Horsham (RC)	2011	Certificate I and II Level	218
Horsham (RC)	2011	Certificate III and IV Level	2763
Horsham (RC)	2011	Advanced Diploma and Diploma	1172
Horsham (RC)	2011	Bachelor	1290
Horsham (RC)	2011	Graduate Diploma and Graduate Certificate	256
Horsham (RC)	2011	Postgraduate	207
Horsham (RC)	2016		12611
Horsham (RC)	2016	Certificate nfd	276
Horsham (RC)	2016	Certificate I and II Level	227
Horsham (RC)	2016	Certificate III and IV Level	3068
Horsham (RC)	2016	Advanced Diploma and Diploma	1390
Horsham (RC)	2016	Bachelor	1479
Horsham (RC)	2016	Graduate Diploma and Graduate Certificate	309
Horsham (RC)	2016	Postgraduate	282
Hume (C)	2006		113964
Hume (C)	2006	Certificate nfd	1545
Hume (C)	2006	Certificate I and II Level	1262
Hume (C)	2006	Certificate III and IV Level	15355
Hume (C)	2006	Advanced Diploma and Diploma	6355
Hume (C)	2006	Bachelor	7569
Hume (C)	2006	Graduate Diploma and Graduate Certificate	828
Hume (C)	2006	Postgraduate	905
Hume (C)	2011		121652
Hume (C)	2011	Certificate nfd	1771
Hume (C)	2011	Certificate I and II Level	1605
Hume (C)	2011	Certificate III and IV Level	18976
Hume (C)	2011	Advanced Diploma and Diploma	9249
Hume (C)	2011	Bachelor	10854
Hume (C)	2011	Graduate Diploma and Graduate Certificate	1322
Hume (C)	2011	Postgraduate	2134
Hume (C)	2016		133228
Hume (C)	2016	Certificate nfd	2684
Hume (C)	2016	Certificate I and II Level	1643
Hume (C)	2016	Certificate III and IV Level	23413
Hume (C)	2016	Advanced Diploma and Diploma	13759
Hume (C)	2016	Bachelor	16075
Hume (C)	2016	Graduate Diploma and Graduate Certificate	2072
Hume (C)	2016	Postgraduate	4502
Indigo (S)	2006		9964
Indigo (S)	2006	Certificate nfd	195
Indigo (S)	2006	Certificate I and II Level	145
Indigo (S)	2006	Certificate III and IV Level	2042
Indigo (S)	2006	Advanced Diploma and Diploma	829
Indigo (S)	2006	Bachelor	1123
Indigo (S)	2006	Graduate Diploma and Graduate Certificate	284
Indigo (S)	2006	Postgraduate	219
Indigo (S)	2011		9567
Indigo (S)	2011	Certificate nfd	189
Indigo (S)	2011	Certificate I and II Level	172
Indigo (S)	2011	Certificate III and IV Level	2291
Indigo (S)	2011	Advanced Diploma and Diploma	1006
Indigo (S)	2011	Bachelor	1334
Indigo (S)	2011	Graduate Diploma and Graduate Certificate	300
Indigo (S)	2011	Postgraduate	320
Indigo (S)	2016		9352
Indigo (S)	2016	Certificate nfd	224
Indigo (S)	2016	Certificate I and II Level	160
Indigo (S)	2016	Certificate III and IV Level	2598
Indigo (S)	2016	Advanced Diploma and Diploma	1287
Indigo (S)	2016	Bachelor	1542
Indigo (S)	2016	Graduate Diploma and Graduate Certificate	404
Indigo (S)	2016	Postgraduate	385
Kingston (C) (Vic.)	2006		89596
Kingston (C) (Vic.)	2006	Certificate nfd	1761
Kingston (C) (Vic.)	2006	Certificate I and II Level	960
Kingston (C) (Vic.)	2006	Certificate III and IV Level	15022
Kingston (C) (Vic.)	2006	Advanced Diploma and Diploma	9239
Kingston (C) (Vic.)	2006	Bachelor	13657
Kingston (C) (Vic.)	2006	Graduate Diploma and Graduate Certificate	1902
Kingston (C) (Vic.)	2006	Postgraduate	2486
Kingston (C) (Vic.)	2011		86950
Kingston (C) (Vic.)	2011	Certificate nfd	1785
Kingston (C) (Vic.)	2011	Certificate I and II Level	1069
Kingston (C) (Vic.)	2011	Certificate III and IV Level	16580
Kingston (C) (Vic.)	2011	Advanced Diploma and Diploma	11534
Kingston (C) (Vic.)	2011	Bachelor	17713
Kingston (C) (Vic.)	2011	Graduate Diploma and Graduate Certificate	2581
Kingston (C) (Vic.)	2011	Postgraduate	4214
Kingston (C) (Vic.)	2016		85949
Kingston (C) (Vic.)	2016	Certificate nfd	2254
Kingston (C) (Vic.)	2016	Certificate I and II Level	997
Kingston (C) (Vic.)	2016	Certificate III and IV Level	17539
Kingston (C) (Vic.)	2016	Advanced Diploma and Diploma	13165
Kingston (C) (Vic.)	2016	Bachelor	21736
Kingston (C) (Vic.)	2016	Graduate Diploma and Graduate Certificate	3247
Kingston (C) (Vic.)	2016	Postgraduate	6502
Knox (C)	2006		99192
Knox (C)	2006	Certificate nfd	1947
Knox (C)	2006	Certificate I and II Level	1172
